DC,ZONE,TENANT,L3OUT,EEPG,CC_NAME,CC_STATE,CC_STATUS
CDL,CDL-AZ1,TN-MAS-DEVAPP,L3OUT-MAS-DEVAPP-AZ1,EEPG-DFIT-MAS-OCP0105-INGRESS,CT-LVFI-DFIT-MAS-OCP0105-INGRESS-ANY,formed,install
CDL,CDL-AZ1,TN-MAS-DEVAPP,L3OUT-MAS-DEVAPP-AZ1,EEPG-DFIT-MAS-OCP0105-MNGSRV,CT-LVFI-DFIT-MAS-OCP0105-MNGSRV-ANY,formed,install
CDL,CDL-AZ1,TN-MAS-DEVAPP,L3OUT-MAS-DEVAPP-AZ1,EEPG-DFIT-MAS-OCP0105-NS1,CT-LVFI-DFIT-MAS-OCP0105-NS1-ANY,formed,install
CDL,CDL-AZ1,TN-MAS-DEVAPP,L3OUT-MAS-DEVAPP-AZ1,EEPG-INF-OSP1-OCP0105-CTLPLN-STRETCH-AZ1,CT-LVMI-OCP0105-NODE-ANY,formed,install
CDL,CDL-AZ1,TN-MAS-DEVAPP,L3OUT-MAS-DEVAPP-AZ1,EEPG-INF-GETS-OSP1-PLTMGT,CT-LVMI-OCP0105-NODE-ANY,formed,install
CDL,CDL-AZ1,TN-GETS-DEVSVC,L3OUT-GETS-DEVIS-AZ1,EEPG-INF-OSP1-OCP0105-CTLPLN-STRETCH-AZ1,CT-LVFI-INF-GETS-OSP1-PLTMGT-ANY,formed,install
CDL,CDL-AZ1,TN-OSP1-DEVCTL,L3OUT-OSP1-DEVCTL-AZ1,EEPG-DFIT-MAS-OCP0105-INGRESS,CT-LVFI-INF-OSP1-OCP0105-CTLPLN-STRETCH-AZ1-ANY,formed,install
CDL,CDL-AZ1,TN-OSP1-DEVCTL,L3OUT-OSP1-DEVCTL-AZ1,EEPG-DFIT-MAS-OCP0105-MNGSRV,CT-LVFI-INF-OSP1-OCP0105-CTLPLN-STRETCH-AZ1-ANY,formed,install
CDL,CDL-AZ1,TN-OSP1-DEVCTL,L3OUT-OSP1-DEVCTL-AZ1,EEPG-DFIT-MAS-OCP0105-NS1,CT-LVFI-INF-OSP1-OCP0105-CTLPLN-STRETCH-AZ1-ANY,formed,install
CDL,CDL-AZ1,TN-GETS-DEVSVC,L3OUT-GETS-DEVSS-AZ1,EEPG-INF-GETS-OSP01APP2-APP,CT-LVFI-INF-GETS-OSP01APP2-APP-ANY,formed,install
CDL,CDL-AZ1,TN-GETS-DEVSVC,L3OUT-GETS-DEVSS-AZ1,EEPG-INF-GETS-OSP01FUSIONCTL-APP,CT-LVFI-INF-GETS-OSP01FUSIONCTL-APP-ANY,formed,install
CDL,CDL-AZ1,TN-MAS-DEVAPP,L3OUT-MAS-DEVAPP-AZ1,EEPG-TRUSTED,CT-DFIT-MAS-WFN-VIP-TO-APP,formed,install
CDL,CDL-AZ1,TN-GETS-DEVSVC,L3OUT-GETS-DEVSS-AZ1,EEPG-TRUSTED,CT-LVFI-INF-GETS-OSP01APP2-APP-ANY,formed,install
CDL,CDL-AZ1,TN-OSP1-DEVCTL,L3OUT-OSP1-DEVCTL-AZ1,EEPG-TRUSTED,CT-LVFI-INF-OSP1-OCP0104-CTLPLN-STRETCH-AZ1-ANY,formed,install
CDL,CDL-AZ1,TN-GETS-DEVSVC,L3OUT-GETS-DEVSS-AZ1,EEPG-INF-GETS-HPETEST1FUSION-CTLPLN,CT-LVFI-INF-GETS-HAPTEST1DEVSVC-VIP,formed,install
CDL,CDL-AZ1,TN-GETS-DEVSVC,L3OUT-GETS-DEVSS-AZ1,EEPG-INF-GETS-HAPTEST1DEVSVC-VIP,CT-LVFI-INF-GETS-HAPTEST1DEVSVC-APP,formed,install
CDL,CDL-AZ1,TN-GETS-DEVSVC,L3OUT-GETS-DEVSS-AZ1,EEPG-INF-GETS-HAPTEST1DEVSVC-APP,CT-LVFI-INF-GETS-HAPTEST1DEVSVC-APP,formed,install
CDL,CDL-AZ1,TN-RNR-DEVAPP,L3OUT-RNR-DEVAPP-AZ1,EEPG-DFIT-RNR-GEN-VIP1,CT-LVFI-DFIT-RNR-OST01APP1-APP-ANY,formed,install
CDL,CDL-AZ1,TN-RNR-DEVAPP,L3OUT-RNR-DEVAPP-AZ1,EEPG-DFIT-RNR-OST01APP1-APP,CT-LVFI-DFIT-RNR-OST01APP1-APP-ANY,formed,install
CDL,CDL-AZ1,TN-RNR-DEVAPP,L3OUT-RNR-DEVAPP-AZ1,EEPG-DFIT-RNR-OCP0104-INGRESS,CT-LVFI-DFIT-RNR-OCP0104-INGRESS-ANY,formed,install
