DC,ZONE,TENANT,L3OUT,EEPG,IP
CDL,CDL-AZ1,TN-MAS-DEVAPP,L3OUT-MAS-DEVAPP-AZ1,EEPG-DFIT-MAS-OCP0105-INGRESS,10.161.85.96/27
CDL,CDL-AZ1,TN-MAS-DEVAPP,L3OUT-MAS-DEVAPP-AZ1,EEPG-DFIT-MAS-OCP0105-MNGSRV,10.161.85.128/27
CDL,CDL-AZ1,TN-MAS-DEVAPP,L3OUT-MAS-DEVAPP-AZ1,EEPG-DFIT-MAS-OCP0105-NS1,10.161.85.160/27
CDL,CDL-AZ1,TN-MAS-DEVAPP,L3OUT-MAS-DEVAPP-AZ1,EEPG-INF-OSP1-OCP0105-CTLPLN-STRETCH-AZ1,10.160.8.160/27
CDL,CDL-AZ1,TN-MAS-DEVAPP,L3OUT-MAS-DEVAPP-AZ1,EEPG-INF-GETS-OSP1-PLTMGT,10.160.14.0/24
CDL,CDL-AZ1,TN-GETS-DEVSVC,L3OUT-GETS-DEVIS-AZ1,EEPG-INF-OSP1-OCP0105-CTLPLN-STRETCH-AZ1,10.160.8.160/27
CDL,CDL-AZ1,TN-OSP1-DEVCTL,L3OUT-OSP1-DEVCTL-AZ1,EEPG-DFIT-MAS-OCP0105-INGRESS,10.160.85.96/27
CDL,CDL-AZ1,TN-OSP1-DEVCTL,L3OUT-OSP1-DEVCTL-AZ1,EEPG-DFIT-MAS-OCP0105-MNGSRV,10.161.85.128/27
CDL,CDL-AZ1,TN-OSP1-DEVCTL,L3OUT-OSP1-DEVCTL-AZ1,EEPG-DFIT-MAS-OCP0105-NS1,10.161.85.160/27
CDL,CDL-AZ1,TN-GETS-DEVSVC,L3OUT-GETS-DEVSS-AZ1,EEPG-INF-GETS-OSP01APP2-APP,10.162.112.128/26
CDL,CDL-AZ1,TN-GETS-DEVSVC,L3OUT-GETS-DEVSS-AZ1,EEPG-INF-GETS-OSP01FUSIONCTL-APP,10.162.112.192/27
CDL,CDL-AZ1,TN-GETS-DEVSVC,L3OUT-GETS-DEVSS-AZ1,EEPG-INF-GETS-OSP01FUSIONCTL-APP,10.162.112.192/27
CDL,CDL-AZ1,TN-GETS-DEVSVC,L3OUT-GETS-DEVSS-AZ1,EEPG-INF-GETS-OSP01FUSIONCTL-APP,10.162.112.192/27
CDL,CDL-AZ1,TN-MAS-DEVAPP,L3OUT-MAS-DEVAPP-AZ1,EEPG-TRUSTED,0.0.0.0/0
CDL,CDL-AZ1,TN-MAS-DEVAPP,L3OUT-MAS-DEVAPP-AZ1,EEPG-TRUSTED,0.0.0.0/0
CDL,CDL-AZ1,TN-GETS-DEVSVC,L3OUT-GETS-DEVCS-AZ1,EEPG-UNTRUSTED,0.0.0.0/0
